general_party,contributor,type_of_contributor,specific_business,general_industry,broad_sector,number_of_records,dollar_amount
Democratic,RHODE ISLAND BROTHERHOOD OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,200,21530
Democratic,RIVERSIDE SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,21200
Democratic,DETROIT POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,20980
Republican,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,50,20650
Republican,ILLINOIS STATE POLICE COMMAND OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,26,20225
Republican,SAN ANTONIO POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,20007
Democratic,ORANGE COUNTY COALITION OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,19900
Republican,MASSACHUSETTS CORRECTIONS OFFICERS FEDERAL UNION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,57,19900
Republican,PUBLIC SAFETY EMPLOYEE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,28,19750
Democratic,ANNE ARUNDEL COUNTY FRATERNAL ORDER OF POLICE LODGE 70,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,19250
Democratic,MASSACHUSETTS COALITION OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,78,19250
Democratic,CRANSTON POLICE OFFICERS LOCAL 301,Non-Individual,Police unions & associations,Public Sector Unions,Labor,54,19125
Nonpartisan,CONTRA COSTA COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,19100
Democratic,RICHMOND POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,19000
Democratic,DADE COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,18750
Republican,MINNESOTA PEACE & POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,28,18500
Democratic,FLORIDA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,18000
Democratic,POLICE OFFICERS FOR GOOD GOVERNMENT,Non-Individual,Police unions & associations,Public Sector Unions,Labor,13,18000
Republican,MISSOURI STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,33,17950
Republican,POLICE OFFICERS ASSOCIATION OF MICHIGAN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,53,17900
Democratic,ANAHEIM POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,13,17400
Republican,STATE POLICE ASSOCIATION OF MASSACHUSETTS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,42,17400
Democratic,STATE TROOPERS SUPERIOR OFFICERS ASSOCIATION OF NEW JERSEY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,16750
Democratic,LAW ENFORCEMENT MANAGERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,16500
Republican,PROFESSIONAL FIRE FIGHTERS & PARAMEDICS OF PALM BEACH COUNTY LOCAL 2928,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,28,16500
Republican,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,42,16425
Democratic,ALASKA CORRECTIONAL OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,22,16400
Democratic,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,61,16300
Democratic,MARYLAND FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,32,16200
Democratic,MARYLAND TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,82,16070
Democratic,FRATERNAL ORDER OF POLICE PROVIDENCE LODGE 3,Non-Individual,Police unions & associations,Public Sector Unions,Labor,107,16035
Nonpartisan,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,15900
Democratic,ST LOUIS POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,54,15850
Democratic,NEW HAMPSHIRE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,40,15840
Democratic,WILMINGTON POLICE & FIRE PENSION TASK FORCE,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,102,15775
Democratic,POLICE ASSOCIATION OF YONKERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,15750
Republican,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,38,15715
Democratic,NYC POLICE CAPTAINS ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,25,15700
Democratic,BALTIMORE COUNTY FRATERNAL ORDER OF POLICE LODGE 4,Non-Individual,Police unions & associations,Public Sector Unions,Labor,46,15640
Democratic,NEW JERSEY SUPERIOR OFFICERS LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,15600
Democratic,BUENA PARK POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,15600
Democratic,BROWARD COUNTY PROFESSIONAL FIRE FIGHTER & PARAMEDIC LOCAL4321,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,18,15500
Republican,ANCHORAGE POLICE DEPARTMENT EMPLOYEES ASSOCIATIION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,20,15500
Republican,ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,54,15350
Republican,STATE POLICE OFFICERS COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,91,15300
Democratic,DEPUTY SHERIFFS ASSOCIATION OF ALAMEDA COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,15000
Democratic,ERIE COUNTY SHERIFFS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,21,14900
Republican,ARIZONA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,116,14774
Republican,CORRECTIONS OFFICERS ASSOCIATION OF DELAWARE,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,36,14700
Republican,ST LOUIS POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,38,14550
Democratic,JACKSONVILLE FRATERNAL ORDER OF POLICE LODGE 5-30,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,14500
Democratic,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,14500
Republican,ASSOCIATION OF MONTANA TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,93,14490
Republican,RIVERSIDE SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,14400
Democratic,ROCHESTER POLICE LOCUST CLUB,Non-Individual,Police unions & associations,Public Sector Unions,Labor,20,14200
Democratic,WARWICK FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,90,14200
Democratic,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,36,14125
Republican,DEPUTY SHERIFFS ASSOCIATION OF SAN DIEGO COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,14005.53
Republican,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,43,13800
Republican,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,13630
Democratic,NEW HAMPSHIRE STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,28,13600
Republican,OKLAHOMA FRATERNAL ORDER OF POLICE STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,13500
Democratic,SANTA CLARA COUNTY PROBATION PEACE OFFICERS LOCAL 1587,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,13450
Democratic,SUFFOLK COUNTY SHERIFFS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,13400
Republican,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,37,13280
Democratic,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,47,13000
Republican,FRATERNAL ORDER OF POLICE LODGE 5,Non-Individual,Police unions & associations,Public Sector Unions,Labor,8,13000
Democratic,FRATERNAL ORDER OF POLICE WILMINGTON LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,61,12925
Nonpartisan,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,12850
Democratic,EL PASO COUNTY SHERIFFS OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,12600
Democratic,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,12500
Democratic,SERGEANTS BENEVOLENT ASSOCIATION PORT AUTHORITY OF NY/NJ,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2,12500
Democratic,ARLINGTON POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,12444.87
Democratic,OREGON COUNCIL OF POLICE ASSOCIATIONS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,12400
Democratic,MICHIGAN CORRECTIONS ORGANIZATION LOCAL 526M,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,19,12200
Republican,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,51,11785
Republican,MESA POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,28,11700
Democratic,ALLEGHENY COUNTY CORRECTIONS OFFICERS,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,27,11650
Democratic,ASSOCIATION OF MONTANA TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,67,11650
Democratic,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,15,11500
Democratic,BROWARD COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,27,11500
Democratic,FIRE FIGHTERS & PARAMEDICS LOCAL 2546,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,11,11500
Democratic,ASSOCIATION OF OREGON CORRECTIONS EMPLOYEES,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,8,11500
Republican,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,11500
Republican,DADE COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,11500
Republican,BOSTON POLICE PATROLMENS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,24,11450
Democratic,MASSACHUSETTS BAY TRANSPORTATION AUTHORITY POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,11350
Democratic,TORRANCE POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,11200
Democratic,OAKLAND POLICE OFFICER'S ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,11000
Democratic,PRINCE GEORGES COUNTY PROFESSIONAL FIRE FIGHTERS & PARAMEDICS ASSOCIATES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,7,11000
Republican,NEW HAMPSHIRE STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,11000
Republican,GILBERT POLICE LEADERSHIP ASSOCIATION COMMITTEE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,15,11000
Republican,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,34,10775
Republican,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,32,10725
Democratic,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,51,10600
Democratic,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,10600
Republican,KANSAS STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,10600
Republican,LIEUTENANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY POLICE DEPARTMENT,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,10508
Democratic,COLORADO STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,24,10500
Democratic,POMONA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,10400
Democratic,FRATERNAL ORDER OF POLICE LODGE 10,Non-Individual,Police unions & associations,Public Sector Unions,Labor,24,10300
Republican,ERIE COUNTY SHERIFFS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,10298
Republican,HARFORD COUNTY DEPUTY SHERIFFS LOCAL 838,Non-Individual,Police unions & associations,Public Sector Unions,Labor,15,10290
Democratic,ARLINGTON PROFESSIONAL FIRE FIGHTERS & PARAMEDICS LOCAL 2800,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,9,10000
Republican,TENNESSEE STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,8,10000
Nonpartisan,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,10000
Democratic,CONCORD POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3,9900
Republican,ALASKA CORRECTIONAL OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,20,9900
Democratic,ST LOUIS COUNTY POLICE ASSOCIATION FRATERNAL ORDER OF POLICE LODGE 111,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,9550
Democratic,ALASKA STATE TROOPERS CHAPTER,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,9500
Democratic,STATE POLICE OFFICERS COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,63,9500
Republican,SUN COAST POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,9500
Republican,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,8,9450
Republican,STATE OF HAWAII ORGANIZATION OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,9350
Democratic,CONNECTICUT STATE POLICE UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,48,9320
Democratic,FREMONT POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3,9200
Nonpartisan,SOUTHERN STATES POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,9019.36
Democratic,VENTURA COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,9000
Republican,DELAWARE STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,71,9000
Republican,FRESNO POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,8700
Democratic,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,32,8600
Republican,FLORIDA SHERIFFS CCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,8500
Republican,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,8425
Democratic,TORRANCE POLICE OFFICERS ASSOCIATION LOCAL 761167,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2,8400
Republican,TUCSON POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,8400
Democratic,TACOMA POLICE LOCAL 6,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,8350
Democratic,ALABAMA STATE TROOPER ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,8250
Democratic,POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1,8000
Democratic,ELIZABETH FMBA LOCAL 9,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,7900
Democratic,DEPUTY SHERIFFS ASSOCIATION OF SANTA CLARA COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,7850
Republican,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,8,7850
Democratic,FRATERNAL ORDER OF POLICE JOLIET LODGE 58,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,7740
Democratic,SACRAMENTO POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,7700
Nonpartisan,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,3,7600
Democratic,MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,64,7550
Republican,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,13,7500
Republican,NYC POLICE CAPTAINS ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,8,7500
Democratic,ONTARIO POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,7350
Nonpartisan,LOS ANGELES SCHOOL POLICE MANAGEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1,7300
Republican,MARYLAND TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,48,7275
Democratic,SANTA MONICA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,7250
Republican,WESTCHESTER COUNTY CORRECTIONS OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,14,7250
Democratic,RHODE ISLAND STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,37,7225
Democratic,SANTA BARBARA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,7000
Democratic,EMERGENCY MEDICAL SERVICES DIVISION OF BOSTON POLICE PATROLMENS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,14,7000
Republican,FRATERNAL ORDER OF POLICE LODGE 10,Non-Individual,Police unions & associations,Public Sector Unions,Labor,15,6855
Democratic,CORPUS CHRISTI POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,6750
Nonpartisan,NEBRASKA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,6750
Democratic,HUNTINGTON BEACH POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,6700
Republican,BUFFALO PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,6650
Republican,STATE LAW ENFORCEMENT OFFICERS LABOR ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,6550
Republican,NEW HAMPSHIRE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,6550
Democratic,OFFICIAL POLICE GARAGE ASSOCIATION OF LOS ANGELES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,6500
Democratic,MASSACHUSETTS STATE POLICE COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,6500
Republican,PEORIA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,19,6500
Republican,FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,6500
Nonpartisan,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,6500
Democratic,SPRINGFIELD POLICE OFFICERS LOCAL 364,Non-Individual,Police unions & associations,Public Sector Unions,Labor,45,6450
Democratic,POLICEMEN'S BENEVOLENT & PROTECTIVE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,6450
Republican,NEW ENGLAND POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,6425
Democratic,FLORIDA POLICE ASSOCIATION LOCAL 6000,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3,6389.82
Democratic,FRATERNAL ORDER OF POLICE LODGE 112,Non-Individual,Police unions & associations,Public Sector Unions,Labor,8,6350
Republican,STATE TROOPERS SUPERIOR OFFICERS ASSOCIATION OF NEW JERSEY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,6305
Democratic,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,23,6290
Republican,CORRECTION CAPTAINS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,21,6275
Democratic,GRAND RAPIDS POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,6250
Republican,NEW YORK STATE ASSOCIATION OF CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,6209
Republican,NYC RETIRED TRANSIT POLICE OFF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,6200
Democratic,SUFFOLK COUNTY POLICE CONFERENCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,21,6150
Republican,OREGON STATE POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,6150
Democratic,METROPOLITAN POLICE CONFERENCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,27,6125
Republican,CHANDLER LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,6125
Democratic,NASSAU COUNTY DEPUTY SHERIFFS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,6100
Nonpartisan,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,6100
Republican,VALPARAISO FIRE FIGHTERS,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,8,6050
Republican,MISSOOURI STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,6040
Democratic,FRATERNAL ORDER OF POLICE BALTIMORE CITY LODGE 3,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,6000
Republican,PINELLAS COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,6000
Democratic,ARIZONA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,46,5996
Democratic,NEW YORK CITY POLICE CAPTAINS ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,5900
Democratic,MISSOURI STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,5875
Republican,SUFFOLK COUNTY POLICE CONFERENCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,27,5825
Republican,DEPUTY SHERIFFS ASSOCIATION OF BEXAR COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,7,5814.1
Democratic,KANSAS STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,5750
Democratic,TULSA FRATERNAL ORDER OF POLICE LODGE 93,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,5750
Democratic,PA FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,5750
Democratic,PASSAIC PBA LOCAL 14,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,5725
Democratic,MONMOUTH COUNTY POLICE BENEVOLENT ASSOCIATION CONFERENCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3,5700
Democratic,NEW YORK EMPIRE STATE FRATERNAL ORDER POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,5700
Democratic,BOSTON POLICE DETECTIVE BENEVOLENT SOCIETY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,30,5575
Democratic,CORONA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,5500
Democratic,NEW CASTLE COUNTY FRATERNAL ORDER OF POLICE LODGE 5,Non-Individual,Police unions & associations,Public Sector Unions,Labor,15,5500
Republican,SAN ANTONIO FIRE & POLICE PENSION ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,7,5500
Republican,ARLINGTON POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,5430.5
Democratic,WASHINGTON STATE COUNCIL OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,5425
Republican,FRATERNAL ORDER OF POLICE BIRMINGHAM LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3,5400
Republican,ITALIAN AMERICAN POLICE SOCIETY OF NEW JERSEY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,12,5350
Democratic,GARDENA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5,5300
Nonpartisan,OAKLAND POLICE OFFICER'S ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,5300
Democratic,NEW YORK STATE ASSOCIATION OF CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,5260
Democratic,MICHIGAN FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,5250
Republican,SOUTHWEST FLORIDA PROFESSIONAL FIRE FIGHTERS & PARAMEDICS LOCAL 1826,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,10,5250
Nonpartisan,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,5250
Democratic,POLICE BENEVOLENT ASSOCIATION LOCAL 134,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,5225
Nonpartisan,TROOPERS FOR A SAFER OHIO,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4,5200
Republican,POLICE BENEVOLENT ASSOCIATION LOCAL 6,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,5125
Republican,UTAH STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,9,5050
