election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
MI,2008,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,DETROIT POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MI,2008,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,POLICE OFFICERS ASSOCIATION OF MICHIGAN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MI,2009,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MI,2009,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,1,2500
MI,2010,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,DETROIT POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MI,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MICHIGAN,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,1,2500
MI,2010,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,1,2500
MI,2012,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,2,2500
MI,2015,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
MI,2016,Republican,MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MI,2017,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
MN,2000,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MN,2000,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
MN,2003,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2500
MN,2003,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
MN,2006,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,2,2500
MN,2006,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2500
MN,2007,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
MN,2010,Democratic,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MN,2011,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MN,2011,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,POLICE OFFICERS ALLIANCE OF MINNESOTA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MN,2018,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
MO,2020,Republican,MISSOURI SENATE CAMPAIGN CMTE,MISSOURI STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
NJ,2001,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2500
NJ,2001,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NJ,2001,Republican,SENATE REPUBLICAN MAJORITY CMTE OF NEW JERSEY,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NJ,2003,Democratic,NEW JERSEY NEW DEMOCRATIC ASSEMBLY LEADERSHIP,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NJ,2004,Republican,NEW JERSEY ASSEMBLY REPUBLICAN VICTORY CMTE,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NJ,2006,Democratic,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NJ,2007,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NJ,2008,Democratic,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NJ,2013,Democratic,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2008,Democratic,NEVADA SENATE DEMOCRATS,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2009,Democratic,NEVADA SENATE DEMOCRATS,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2009,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2012,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2012,Republican,REPUBLICAN ASSEMBLY LEADERSHIP OF NEVADA,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2013,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2014,Democratic,NEVADA SENATE DEMOCRATS,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NV,2015,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NY,2000,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2002,Republican,NEW YORK STATE REPUBLICAN PARTY,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NY,2003,Republican,NEW YORK STATE REPUBLICAN PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY DETECTIVES ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2006,Democratic,NEW YORK STATE DEMOCRATIC PARTY,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2006,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2006,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2006,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2008,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK CITY DETECTIVES ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,SUPERIOR OFFICERS ASSOCIATION OF SUFFOLK COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2009,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2011,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2013,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2013,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2015,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE CONFERENCE OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2015,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,SUFFOLK COUNTY DETECTIVES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,SUPERIOR OFFICERS ASSOCIATION OF SUFFOLK COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,SUFFOLK COUNTY DETECTIVES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2017,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2018,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2500
NY,2018,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
NY,2019,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,SUFFOLK COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
OK,2007,Republican,OKLAHOMA REPUBLICAN SENATORIAL CMTE,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2015,Republican,REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2016,Republican,OKLAHOMA REPUBLICAN SENATORIAL CMTE,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2016,Republican,REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2017,Republican,REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2018,Republican,OKLAHOMA REPUBLICAN SENATORIAL CMTE,OKLAHOMA FRATERNAL ORDER OF POLICE STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
OK,2018,Republican,REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
OK,2019,Republican,OKLAHOMA REPUBLICAN SENATORIAL CMTE,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,2500
RI,2006,Democratic,RHODE ISLAND DEMOCRATIC PARTY,RHODE ISLAND TROOPER ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
TX,2000,Democratic,TEXAS PARTNERSHIP PAC,HOUSTON POLICE OFFICERS UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
TX,2002,Republican,TEXAS REPUBLICAN PARTY,TEXAS MUNICIPAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
TX,2005,Democratic,TEXAS DEMOCRATIC PARTY,AUSTIN POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
TX,2008,Republican,TEXAS REPUBLICAN LEGISLATIVE CAUCUS,COMBINED LAW ENFORCEMENT ASSOCIATION OF TEXAS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
TX,2014,Democratic,HOUSE DEMOCRATIC CAMPAIGN CMTE OF TEXAS,DEPUTY SHERIFFS ASSOCIATION OF BEXAR COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
VA,2005,Republican,VIRGINIA SENATE REPUBLICAN LEADERSHIP TRUST,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
VA,2010,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
VA,2011,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
VA,2011,Republican,VIRGINIA SENATE REPUBLICAN CAUCUS,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
VA,2013,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
VA,2013,Republican,VIRGINIA SENATE REPUBLICAN CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
VA,2014,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
VA,2016,Democratic,VIRGINIA DEMOCRATIC PARTY,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
WA,2003,Republican,WASHINGTON STATE REPUBLICAN PARTY,WASHINGTON COUNCIL OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
WI,2002,Republican,WISCONSIN REPUBLICAN PARTY,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
WI,2009,Democratic,WISCONSIN DEMOCRATIC PARTY,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,PROFESSIONAL POLICE ASSOCIATION,1,2500
WI,2017,Republican,CMTE TO ELECT A REPUBLICAN SENATE OF WISCONSIN,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2500
WI,2018,Republican,WISCONSIN REPUBLICAN PARTY,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2500
NY,2016,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2450
MN,2001,Republican,SENATE REPUBLICAN VICTORY FUND OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,8,2400
NJ,2011,Republican,NEW JERSEY REPUBLICAN PARTY,NJ LAW ENFORCEMENT COMMANDING OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2400
NY,2006,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2400
NY,2005,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2350
VA,2004,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2350
VA,2000,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,2325
VA,2002,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2300
CA,2001,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ORGANIZATION OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2250
MI,2000,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MICHIGAN,DETROIT POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
MI,2011,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,2,2250
MI,2016,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MICHIGAN,RETIRED DETROIT POLICE & FIRE FIGHTERS ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS / IAFF,3,2250
MI,2019,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
MN,2000,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2250
MN,2002,Republican,SENATE REPUBLICAN VICTORY FUND OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
MN,2006,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2250
MN,2008,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,MINNESOTA PEACE & POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,POLICE & PEACE OFFICERS ASSOCIATION,2,2250
MN,2008,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2250
MN,2011,Democratic,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
MN,2011,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
MN,2011,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
NJ,2002,Republican,SENATE REPUBLICAN MAJORITY CMTE OF NEW JERSEY,NEW JERSEY STATE TROOPERS NON-COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2250
NJ,2005,Democratic,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2250
NY,2000,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,2250
VA,2017,Republican,VIRGINIA SENATE REPUBLICAN CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,2250
WA,2002,Republican,WASHINGTON STATE REPUBLICAN PARTY,WASHINGTON COUNCIL OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2250
IL,2001,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2200
NY,2000,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,MARSHAL ASSOCIATION OF CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2200
NY,2008,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2200
NY,2014,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2200
WA,2002,Democratic,WASHINGTON STATE DEMOCRATIC PARTY,WASHINGTON COUNCIL OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,2200
IL,2009,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,3,2150
MN,2002,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,2,2150
MN,2003,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MINNESOTA,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,MINNESOTA STATE PATROL TROOPERS ASSOCIATION,2,2150
AL,2007,Democratic,ALABAMA SENATE DEMOCRATIC CAUCUS,ALABAMA STATE TROOPER ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,2000
CA,2008,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2000
CA,2008,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,2000
